district,cds_code,county,report_type,enrolled_12,num_test_taker,avg_act_reading,avg_act_english,avg_act_math,avg_act_sci,num_over_21_score,percent_over_21_score,personal_income,population,per_capita_income,county_code,edp_365,current_expense_ada,current_expense_per_ada,LEA Type,teachers,avg_teacher_salary_13_14,avg_teacher_salary_17_18,avg_teacher_salary_18_19
San Jose Unified,69666,Santa Clara,S,463.0,53.0,23,22,22,23,34,64.15,223624580.0,1927852.0,115997.0,43.0,358460912.83,27502.21,13033.894833542468,Unified,1600.0,67386.0,76253.0,76442.0
Los Angeles Unified,64733,Los Angeles,S,226.0,19.0,21,20,23,22,11,57.89,653482910.0,10039107.0,65094.0,19.0,7447072658.68,454546.06,16383.53802622335,Unified,23670.0,68881.0,74789.0,78962.0
Los Angeles Unified,64733,Los Angeles,S,126.0,16.0,18,18,18,17,5,31.25,653482910.0,10039107.0,65094.0,19.0,7447072658.68,454546.06,16383.53802622335,Unified,23670.0,68881.0,74789.0,78962.0
William S. Hart Union High,65136,Los Angeles,S,104.0,36.0,29,29,25,25,34,94.44,653482910.0,10039107.0,65094.0,19.0,251435567.69,21274.88,11818.424719199356,High,943.0,72381.0,78855.0,80182.0
East Side Union High,69427,Santa Clara,S,41.0,34.0,14,14,15,15,1,2.94,223624580.0,1927852.0,115997.0,43.0,273942983.16,21484.18,12750.916402673969,High,1149.0,80860.0,88797.0,94375.0
Oxnard Union High,72546,Ventura,S,507.0,91.0,23,23,23,22,55,60.44,54749053.0,846006.0,64715.0,56.0,203531765.75,15687.53,12974.111651101224,High,725.0,75554.0,90194.0,91581.0
Santa Clara Unified,69674,Santa Clara,S,458.0,138.0,25,24,24,24,93,67.39,223624580.0,1927852.0,115997.0,43.0,279540071.52,14597.39,19150.00363215616,Unified,885.0,78579.0,106910.0,111914.0
Las Virgenes Unified,64683,Los Angeles,S,459.0,140.0,27,26,25,24,114,81.43,653482910.0,10039107.0,65094.0,19.0,119829838.79,10420.42,11499.521016427361,Unified,560.0,69512.0,79653.0,82404.0
Los Angeles Unified,64733,Los Angeles,S,382.0,112.0,14,14,16,15,7,6.25,653482910.0,10039107.0,65094.0,19.0,7447072658.68,454546.06,16383.53802622335,Unified,23670.0,68881.0,74789.0,78962.0
Los Angeles Unified,64733,Los Angeles,S,585.0,139.0,23,23,21,21,75,53.96,653482910.0,10039107.0,65094.0,19.0,7447072658.68,454546.06,16383.53802622335,Unified,23670.0,68881.0,74789.0,78962.0
Alhambra Unified,75713,Los Angeles,S,648.0,93.0,24,25,24,23,69,74.19,653482910.0,10039107.0,65094.0,19.0,210924787.04,15754.91,13387.87635346695,Unified,845.0,72586.0,85364.0,87578.0
Salinas Union High,66159,Monterey,S,651.0,206.0,18,17,18,18,47,22.82,25973189.0,434061.0,59838.0,27.0,196804990.43,15261.32,12895.67287954122,High,829.0,68981.0,79597.0,79950.0
Capistrano Unified,66464,Orange,S,749.0,286.0,26,27,27,26,254,88.81,227732561.0,3175692.0,71711.0,30.0,509075121.41,44603.350000000006,11413.383107098456,Unified,2016.0,81876.0,89014.0,88025.0
Los Angeles Unified,64733,Los Angeles,S,61.0,77.0,17,16,17,18,12,15.58,653482910.0,10039107.0,65094.0,19.0,7447072658.68,454546.06,16383.53802622335,Unified,23670.0,68881.0,74789.0,78962.0
Los Angeles Unified,64733,Los Angeles,S,123.0,155.0,15,14,16,16,13,8.39,653482910.0,10039107.0,65094.0,19.0,7447072658.68,454546.06,16383.53802622335,Unified,23670.0,68881.0,74789.0,78962.0
Los Angeles Unified,64733,Los Angeles,S,141.0,70.0,18,20,19,18,19,27.14,653482910.0,10039107.0,65094.0,19.0,7447072658.68,454546.06,16383.53802622335,Unified,23670.0,68881.0,74789.0,78962.0
Los Angeles Unified,64733,Los Angeles,S,101.0,80.0,16,16,18,17,14,17.50,653482910.0,10039107.0,65094.0,19.0,7447072658.68,454546.06,16383.53802622335,Unified,23670.0,68881.0,74789.0,78962.0
Los Angeles Unified,64733,Los Angeles,S,138.0,162.0,16,16,17,17,24,14.81,653482910.0,10039107.0,65094.0,19.0,7447072658.68,454546.06,16383.53802622335,Unified,23670.0,68881.0,74789.0,78962.0
