District,Teachers,2013-14,2017-18,2018-19
Alameda County Office of Ed. (Alameda),27,95411,113612,114268
New Haven Unified (Alameda),566,85169,96554,100808
Pleasanton Unified (Alameda),753,85593,92066,93992
Hayward Unified (Alameda),1042,78802,90195,93878
Fremont Unified (Alameda),1734,78936,89130,92747
San Leandro Unified (Alameda),465,,90101,91590
Dublin Unified (Alameda),577,76471,85965,89164
Newark Unified (Alameda),279,81193,87940,88267
Castro Valley Unified (Alameda),468,71745,82309,85951
Piedmont City Unified (Alameda),146,73211,,82005
Livermore Valley Joint Unified (Alameda),724,70541,79725,80447
Alameda Unified (Alameda),499,68089,73425,77156
Berkeley Unified (Alameda),654,70036,75962,76974
Albany City Unified (Alameda),229,67193,75487,76931
Oakland Unified (Alameda),2102,55670,63149,63134
Alpine County Unified (Alpine),11,57316,62478,61368
Amador County Unified (Amador),170,62312,71860,68318
Thermalito Union Elementary (Butte),94,70831,79136,83653
Oroville City Elementary (Butte),125,71534,78338,79975
Manzanita Elementary (Butte),15,,null,78071
Gridley Unified (Butte),103,62701,75807,77020
Palermo Union Elementary (Butte),72,63720,71747,74689
Chico Unified (Butte),694,62700,68670,73366
Oroville Union High (Butte),113,64014,72352,72761
Durham Unified (Butte),57,64486,67400,69054
Paradise Unified (Butte),176,61262,64951,66202
Butte County Office of Ed. (Butte),129,59152,63561,64875
Pioneer Union Elementary (Butte),3,,62615,63245
Biggs Unified (Butte),38,51765,57808,57050
Feather Falls Un Elementary (Butte),1,47961,55035,56961
Bret Harte Union High (Calaveras),39,79128,86125,86125
Calaveras Unified (Calaveras),125,63695,70387,72239
Vallecito Union Elementary (Calaveras),35,68236,66170,69346
Calaveras County Office of Ed. (Calaveras),24,53416,62409,65303
Mark Twain Union Elementary (Calaveras),41,58253,62656,64201
Pierce Joint Unified (Colusa),73,61695,70741,72311
Colusa Unified (Colusa),77,63189,70849,71180
Colusa County Office of Ed. (Colusa),25,68342,67643,70322
Williams Unified (Colusa),72,62986,68237,67443
Maxwell Unified (Colusa),21,60545,61437,66426
Acalanes Union High (Contra Costa),288,82212,90291,93706
Brentwood Union Elementary (Contra Costa),439,76276,84546,85716
Contra Costa County Office of Ed. (Contra Costa),78,70267,80807,84448
Antioch Unified (Contra Costa),815,71542,79380,82914
Byron Union Elementary (Contra Costa),70,68672,79071,82088
Liberty Union High (Contra Costa),378,67084,79476,81924
San Ramon Valley Unified (Contra Costa),1485,70168,77512,80847
Mt. Diablo Unified (Contra Costa),1623,66040,78217,79123
Walnut Creek Elementary (Contra Costa),188,75579,78634,78763
Oakley Union Elementary (Contra Costa),232,67255,73766,77203
Moraga Elementary (Contra Costa),98,66361,74887,76267
Lafayette Elementary (Contra Costa),198,69711,77326,76128
Martinez Unified (Contra Costa),201,66259,72226,75938
Orinda Union Elementary (Contra Costa),138,70277,74670,75845
Pittsburg Unified (Contra Costa),594,60747,73938,74828
West Contra Costa Unified (Contra Costa),1411,58595,70833,74094
Knightsen Elementary (Contra Costa),30,66094,70027,70763
John Swett Unified (Contra Costa),85,59502,67428,69861
Del Norte County Unified (Del Norte),214,60981,66169,69119
El Dorado Union High (El Dorado),253,73816,82102,84627
Rescue Union Elementary (El Dorado),190,70873,78162,77846
Lake Tahoe Unified (El Dorado),227,68166,74027,76991
Buckeye Union Elementary (El Dorado),224,66738,75112,74972
El Dorado County Office of Ed. (El Dorado),65,68496,73089,74374
Latrobe Elementary (El Dorado),10,,null,72479
Camino Union Elementary (El Dorado),29,63604,72621,71626
Placerville Union Elementary (El Dorado),63,61525,66339,68973
Mother Lode Union Elementary (El Dorado),52,60089,66136,68338
Black Oak Mine Unified (El Dorado),54,61983,61857,63221
Gold Oak Union Elementary (El Dorado),25,62434,58096,59481
Pioneer Union Elementary (El Dorado),18,61236,56442,56816
Kingsburg Joint Union High (Fresno),56,72136,81676,82638
